i,lat,long
133,41.87527905,-87.6863507
135,41.89110065097819,-87.6140032617778
136,41.79387414085752,-87.68387359325466
136,41.890812800000006,-87.63132305
136,41.89110065097819,-87.6140032617778
136,41.7633171081543,-87.62857818603516
136,41.75266819854031,-87.58797975684719
136,41.87527905,-87.6863507
136,41.73815330090692,-87.71424072195852
136,41.89229151450878,-87.60530413228989
136,41.84828298231878,-87.71190867706719
138,40.41022010304233,-90.9094935920656
138,41.59917995000001,-87.31608395
139,41.88683803162099,-87.61733072510356
140,41.48086929321289,-87.6378173828125
140,41.65382164441643,-87.60963137724977
140,41.80977885261997,-87.62718729436763
140,41.63357719321177,-87.45085854097377
141,41.79387414085752,-87.68387359325466
141,41.890812800000006,-87.63132305
141,41.89110065097819,-87.6140032617778
141,41.89110065097819,-87.6140032617778
141,41.7633171081543,-87.62857818603516
141,41.75266819854031,-87.58797975684719
141,41.87527905,-87.6863507
141,41.89110065097819,-87.6140032617778
141,41.8571967874355,-87.6813304790793
144,36.87595066198644,-76.24957501778773
145,41.900604777313724,-87.61997793505228
145,41.89110065097819,-87.6140032617778
149,41.80257725,-87.6149757
149,41.8024705129066,-87.61066910878992
149,41.50968517386586,-87.6277992773065
150,41.71335635,-87.613945
150,42.32081604003906,-87.8606185913086
156,41.88577469233857,-71.43089564962119
156,41.678121406298146,-87.61593140732651
158,41.724156962353966,-87.54748322901592
158,41.836605293530056,-87.65963799270003
160,42.32558059692383,-87.84117889404297
160,41.89110065097819,-87.6140032617778
162,41.84469425,-87.62808885000001
163,41.89229151450878,-87.60530413228989
163,41.836605293530056,-87.65963799270003
163,41.89110065097819,-87.6140032617778
164,41.89110065097819,-87.6140032617778
165,41.78079851902704,-87.63226474939076
165,41.87440619769707,-87.67270500178984
165,41.79037126581511,-87.631961741346
165,42.196081756873006,-87.80717041987903
165,41.809602025308294,-87.6323885330419
165,41.46200180053711,-87.64989471435547
166,41.724156962353966,-87.54748322901592
168,41.74816970824122,-87.57441787719745
168,41.70761698369796,-87.56811996882499
168,41.78079851902704,-87.63226474939076
168,41.87440619769707,-87.67270500178984
168,41.89110065097819,-87.6140032617778
168,38.64239120065636,-88.92766506237254
168,41.724156962353966,-87.54748322901592
168,41.80694580078125,-87.6675033569336
168,41.86183287373405,-87.64950090530532
168,41.89229151450878,-87.60530413228989
168,41.73903925036406,-87.69237033424635
168,41.89110065097819,-87.6140032617778
168,41.89229151450878,-87.60530413228989
168,41.78430525872239,-87.68660071385465
168,41.890812800000006,-87.63132305
168,41.97550359890883,-87.7684702790808
168,41.78079851902704,-87.63226474939076
168,41.79037126581511,-87.631961741346
169,41.89110065097819,-87.6140032617778
170,41.85002899169922,-87.6500473022461
171,38.64239120065636,-88.92766506237254
171,41.85002899169922,-87.6500473022461
175,41.80691687212717,-87.61549844464973
175,41.724156962353966,-87.54748322901592
176,41.869176800000005,-87.6718267
177,41.74003219604492,-87.6994857788086
180,41.89229151450878,-87.60530413228989
